Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'              
C3L60, C3L117, C3L149, C3L221, C3L269, C3L265, C4L149, C4L315, C4L103, C4L104, C4L264, C4L235, C4L181, C4L227 
Pop              
CHPO_MIG2, 162162 153153 138146 148148 128130 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG3, 162162 153153 140146 148148 128128 150158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG5, 162162 153153 138138 148148 130130 154154 111113 117117 116116 233233 124124 100100 128132 202206
CHPO_MIG6, 162162 153153 138138 148148 130130 154154 113113 117117 116116 233233 124124 100100 128132 202206
CHPO_MIG7, 162162 153153 138138 148148 128130 154154 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG8, 162162 153153 146146 148148 128128 158158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG9, 162162 153153 138146 148148 128130 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG10, 162162 153153 138146 148148 128130 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG13, 162162 153153 138146 148148 128130 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG16, 162162 153153 146146 148148 128128 158158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG4, 162162 153153 138138 148148 130130 154154 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG11, 162162 153153 138138 148148 128130 154154 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG14, 162162 153153 138146 148148 128130 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG17, 162162 153153 138140 148148 128130 158158 113113 117117 116116 233233 124124 100100 128132 202206
CHPO_MIG19, 162162 153153 146146 148148 128128 158158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG21, 162162 153153 138150 148148 128128 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG22, 162162 153153 138146 148148 128128 154158 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_MIG24, 162162 153153 138140 148148 128130 150154 113113 117117 116116 233233 124124 100100 128128 202202
CHPO_80, 162162 153153 138138 148148 130130 154154 113113 117117 116116 233233 124124 100100 132132 206206
CHPO_81, 162162 153153 138138 148148 130130 154154 113113 117117 116116 233233 124124 100100 128128 202202
Pop              
IBIN_251, 162162 153153 150150 146146 130130 150150 117117 113113 116116 233233 126126 104104 132132 206206
IBIN_252, 162162 153153 146146 148148 128128 158158 111111 117117 116116 233233 124124 100100 132132 206206
IBIN_253, 162162 153153 152156 148148 120128 148150 117117 109115 116116 233233 124126 100100 130134 208212
IBIN_256, 162162 153153 150152 146148 120130 150150 117117 109113 116116 233233 126126 100104 132134 206212
IBIN_282, 162162 153153 150150 146146 130130 150150 117117 113113 116116 233233 126126 104104 132132 206206
IBIN_283, 162162 153153 150150 146146 130130 150150 117117 113113 116116 233233 126126 104104 132132 206206
IBIN_284, 162162 153153 150150 146146 130130 150150 117117 113113 116116 233233 126126 104104 132132 206206
IBIN_285, 162162 153153 150150 146146 130130 150150 117117 113113 116116 233233 126126 104104 132132 206206
IBIN_286, 162162 153153 150154 146146 130130 150150 117117 113115 116116 233233 124126 102104 132138 204206
IBIN_288, 162162 153153 146146 148148 132132 150150 117117 123123 116116 233233 124124 104104 134134 212212
IBIN_CAS63_05, 162162 153153 152160 148148 116128 150152 115117 113113 116116 233239 112124 100120 128132 206210
IBIN_CAS69_05, 162180 153155 111156 146148 116124 150150 119121 107111 116116 233233 122122 100102 130132 176198
IBIN_CAS80_05, 162180 153155 111160 148148 124128 150150 117119 111113 116118 233233 122122 100102 130132 198208
IBIN_CAS81_05, 162162 153153 152156 146148 116116 150152 115121 111113 116116 233233 110124 100102 134138 206208
IBIN_CAS82_05, 162162 153153 152152 148154 116118 150152 115117 111113 116116 233233 110124 100100 128134 206210
IBIN_CAS83_05, 162162 153153 152160 148154 118128 150150 117117 111113 116116 233239 110112 100120 132134 206206
IBIN_CAS84_05, 162162 153153 152160 148148 116128 150152 115117 113113 116116 233239 112124 100120 128132 206210
IBIN_CAS85_05, 162162 153153 152160 148148 116128 150152 115117 113113 116116 233239 112124 100120 128132 206210
IBIN_CAS87_05, 162162 153153 156160 146148 116128 150150 117121 107113 116118 233233 122122 100100 130130 176208
IBIN_CAS88_05, 162162 153153 150156 146146 116130 150150 117121 107119 116116 233233 116122 100100 130136 176202
Pop              
ICRE_SERI1, 162164 153153 154160 148150 116132 150150 113117 115117 116116 233233 124128 100100 128132 178214
ICRE_SERI2, 162164 153153 148154 148148 128134 148150 115117 115115 116116 233233 124126 102116 128130 206210
ICRE_SERI3, 162162 153153 150154 148148 128128 150150 117117 111115 116140 233233 124126 100116 128130 178206
ICRE_SERI4, 162162 153153 150154 148148 128128 150154 117117 115121 116116 233233 126128 102116 128128 206208
ICRE_SERI5, 162162 153153 150154 148148 128128 150150 117117 111115 116140 233233 124126 100116 128130 178206
ICRE_249, 162162 153153 146146 148148 128128 158158 111111 117117 116116 233233 124124 100100 132132 206206
ICRE_250, 162162 153153 152152 152152 128128 150150 111111 113113 114114 233233 124124 100100 136136 210210
ICRE_255, 182182 155155 113113 148148 124124 154154 117117 119119 116116 233233 126126 100100 132132 208208
ICRE_275, 162162 153153 152152 152152 128128 150150 111111 113113 114114 233233 124124 100100 136136 210210
ICRE_276, 162164 153153 152154 148152 128132 150150 111117 113117 114116 233233 124128 100100 132136 178210
ICRE_Feng1, 162164 153153 148152 148152 128132 148150 117117 117117 116116 233235 122128 096100 126132 176210
ICRE_Feng2, 162164 153153 148152 152152 124132 150150 113117 113117 116116 233233 122124 100116 128128 190218
ICRE_Pedr1, 162162 153153 152152 152152 128128 150150 111111 113113 114114 233233 124124 100100 136136 210210
ICRE_Pedr2, 162182 153155 113152 148152 124128 150154 111117 113119 114116 233233 124128 100100 132136 178210
ICRE_Pedr3, 162164 153153 152154 148152 128132 150150 111117 113117 114116 233233 124128 100100 132136 178210
ICRE_Pedr4, 162164 153153 146154 148148 132132 150150 117117 117123 116116 233233 124128 100104 132134 178212
ICRE_Pedr5, 162182 153155 113152 148152 124128 150154 111117 113119 114116 233233 124126 100100 132136 210210
ICRE_Pedr6, 164182 153155 113154 148148 124132 150154 117117 117119 116116 233233 126128 100100 132132 178178
